id,title,year,director,genre,runtime,formats,upc,image,added
1754438154999,UHF (25th Anniversary),1989,,Comedy,,Blu-ray,826663153750,,2025-07-27T21:40:52.380Z
1754438250209,Tommy,,,Musical,,4K,826663249453,,2025-08-05T00:00:00.000Z
1754968267009,Donovan's Brain,,,Science Fiction,,DVD,027616862853,,8/11/2025
1754968312114,Get a Life - Vol. 1,,,Comedy,,DVD,081227662523,,8/11/2025
1754968385100,The Gangster,,,Drama,,DVD,883316276716,,8/11/2025
1754968406024,The Ghost and Mrs. Muir,,,Comedy,,DVD,024543071426,,8/11/2025
1754968590408,The Big Heat,,,Drama,,4K,715515315616,,8/11/2025
1754968731875,Sorcerer,,,Drama,,4K,715515314619,,8/11/2025
1754969284311,Green Planet,,,Documentary,,4K Ultra HD,883929786596,,8/11/2025
1754969693552,Withnail and I,,,Comedy,,4K,2711111713113,,8/11/2025
1754969965444,The Wiz,,,Musical,,4K,715515314213,,8/11/2025
1754969976781,Lord of the Rings: The War of the Rohirrim,,,Animation,,4K,283929818110,,8/11/2025
1755047535337,Watchmen Chapter II,,,Animation,,4K,9815219222270,,8/12/2025
1755047649271,The Napa State Tapes,,,Documentary,,Blu-ray,850040599121,,8/12/2025
1755047681988,Caught,,,Drama,,DVD,78450820,,8/12/2025